Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
stationary,cart,0,5,0.6732138754881691,0.17935065332476513,0.6451157504336903,0.2832427207925577,0.5852994196519272,0.19722751756655604,0.3059000104558102,0.35988375497981906,0.02800219098571688,-1,[0],[-1]
retrain,cart,0,5,0.6732138754881691,0.17935065332476513,0.6451157504336903,0.2832427207925577,0.5852994196519272,0.19722751756655604,0.3059000104558102,0.35988375497981906,0.020293348003178835,-1,[0],[-1]
oracle,cart,0,5,0.6732138754881691,0.17935065332476513,0.6451157504336903,0.2832427207925577,0.5852994196519272,0.19722751756655604,0.3059000104558102,0.35988375497981906,0.07478599599562585,1,[0],[0.5852994196519272]
laf,cart,0,5,0.6732138754881691,0.17935065332476513,0.6451157504336903,0.2832427207925577,0.5852994196519272,0.19722751756655604,0.3059000104558102,0.35988375497981906,0.022839255048893392,-1,[0],[-1]
crc,cart,0,5,0.6732138754881691,0.17935065332476513,0.6451157504336903,0.2832427207925577,0.5852994196519272,0.19722751756655604,0.3059000104558102,0.35988375497981906,0.01974076800979674,-1,[0],[-1]
temporal,cart,0,5,0.6732138754881691,0.17935065332476513,0.6451157504336903,0.2832427207925577,0.5852994196519272,0.19722751756655604,0.3059000104558102,0.35988375497981906,0.02349897101521492,-1,[0],[-1]
temporal_rev,cart,0,5,0.6732138754881691,0.17935065332476513,0.6451157504336903,0.2832427207925577,0.5852994196519272,0.19722751756655604,0.3059000104558102,0.35988375497981906,0.025976714910939336,-1,[0],[-1]
dist,cart,0,5,0.6732138754881691,0.17935065332476513,0.6451157504336903,0.2832427207925577,0.5852994196519272,0.19722751756655604,0.3059000104558102,0.35988375497981906,0.01940763497259468,-1,[0],[-1]
dist_leak,cart,0,5,0.6732138754881691,0.17935065332476513,0.6451157504336903,0.2832427207925577,0.5852994196519272,0.19722751756655604,0.3059000104558102,0.35988375497981906,0.01965827203821391,-1,[0],[-1]
stationary,cart,0,6,0.5961307246693628,0.37361282367447596,0.7927856681730149,0.4593422327030783,0.8037501835648659,0.3536000009459109,0.14987916859492859,0.7697588339215145,0.02391246799379587,-1,[0],[-1]
retrain,cart,0,6,0.6511827219746315,0.5204822578435402,0.8213363460296966,0.578542602604127,0.828697867397294,0.47168511862398516,0.13492855325676043,0.7697588339215145,0.015410306979902089,-1,[1],[-1]
oracle,cart,0,6,0.6511827219746315,0.5204822578435402,0.8213363460296966,0.578542602604127,0.828697867397294,0.47168511862398516,0.13492855325676043,0.7697588339215145,0.08352915802970529,2,"[1, 0]","[0.8037501835648659, 0.828697867397294]"
