Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
stationary,lr,0,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321573901012193,0.016721319141250825,0.23101407842165328,15.933039357070811,0.04237178910989314,-1,[0],[-1]
retrain,lr,0,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321573901012193,0.016721319141250825,0.23101407842165328,15.933039357070811,0.02672607300337404,-1,[0],[-1]
oracle,lr,0,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321573901012193,0.016721319141250825,0.23101407842165328,15.933039357070811,0.07759015902411193,1,[0],[0.5321573901012193]
laf,lr,0,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321573901012193,0.016721319141250825,0.23101407842165328,15.933039357070811,0.02077188203111291,-1,[0],[-1]
crc,lr,0,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321573901012193,0.016721319141250825,0.23101407842165328,15.933039357070811,0.03060921106953174,-1,[0],[-1]
temporal,lr,0,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321573901012193,0.016721319141250825,0.23101407842165328,15.933039357070811,0.03218712599482387,-1,[0],[-1]
temporal_rev,lr,0,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321573901012193,0.016721319141250825,0.23101407842165328,15.933039357070811,0.030017522047273815,-1,[0],[-1]
dist,lr,0,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321573901012193,0.016721319141250825,0.23101407842165328,15.933039357070811,0.02291812002658844,-1,[0],[-1]
dist_leak,lr,0,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321573901012193,0.016721319141250825,0.23101407842165328,15.933039357070811,0.028400144074112177,-1,[0],[-1]
stationary,lr,0,6,1.0,0.0009590354843129195,0.7646223369916075,0.0019162332329592116,0.5314672804373429,0.02707856968711268,0.210615766830981,38.1459960420616,0.040058562997728586,-1,[0],[-1]
retrain,lr,0,6,0.6352941176470588,0.007398273736128237,0.7651387992253067,0.014626218851570965,0.5763536219148035,0.04940135991540164,0.21027129155091062,38.1459960420616,0.016901570954360068,-1,[1],[-1]
oracle,lr,0,6,0.6352941176470588,0.007398273736128237,0.7651387992253067,0.014626218851570965,0.5763536219148035,0.04940135991540164,0.21027129155091062,38.1459960420616,0.09596254501957446,2,"[1, 0]","[0.5314672804373429, 0.5763536219148035]"
laf,lr,0,6,0.6352941176470588,0.007398273736128237,0.7651387992253067,0.014626218851570965,0.5763536219148035,0.04940135991540164,0.21027129155091062,38.1459960420616,0.1203685209620744,5,"[1, 0]",[-1]
crc,lr,0,6,0.6352941176470588,0.007398273736128237,0.7651387992253067,0.014626218851570965,0.5763536219148035,0.04940135991540164,0.21027129155091062,38.1459960420616,0.057748941937461495,2,"[1, 0]",[-1]
