Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
stationary,nn,0,5,0.618839947666812,0.13026714403745523,0.6285936471854998,0.21522827241013195,0.7258108749558373,0.13984588978476936,0.23099702240447906,82.7965977480635,0.07320104399695992,-1,[0],[-1]
retrain,nn,0,5,0.618839947666812,0.13026714403745523,0.6285936471854998,0.21522827241013195,0.7258108749558373,0.13984588978476936,0.23099702240447906,82.7965977480635,0.06180513894651085,-1,[0],[-1]
oracle,nn,0,5,0.618839947666812,0.13026714403745523,0.6285936471854998,0.21522827241013195,0.7258108749558373,0.13984588978476936,0.23099702240447906,82.7965977480635,0.1268307400168851,1,[0],[0.7258108749558373]
laf,nn,0,5,0.618839947666812,0.13026714403745523,0.6285936471854998,0.21522827241013195,0.7258108749558373,0.13984588978476936,0.23099702240447906,82.7965977480635,0.06250699504744262,-1,[0],[-1]
crc,nn,0,5,0.618839947666812,0.13026714403745523,0.6285936471854998,0.21522827241013195,0.7258108749558373,0.13984588978476936,0.23099702240447906,82.7965977480635,0.052413258934393525,-1,[0],[-1]
temporal,nn,0,5,0.618839947666812,0.13026714403745523,0.6285936471854998,0.21522827241013195,0.7258108749558373,0.13984588978476936,0.23099702240447906,82.7965977480635,0.06252136593684554,-1,[0],[-1]
temporal_rev,nn,0,5,0.618839947666812,0.13026714403745523,0.6285936471854998,0.21522827241013195,0.7258108749558373,0.13984588978476936,0.23099702240447906,82.7965977480635,0.06250060792081058,-1,[0],[-1]
dist,nn,0,5,0.618839947666812,0.13026714403745523,0.6285936471854998,0.21522827241013195,0.7258108749558373,0.13984588978476936,0.23099702240447906,82.7965977480635,0.0508740060031414,-1,[0],[-1]
dist_leak,nn,0,5,0.618839947666812,0.13026714403745523,0.6285936471854998,0.21522827241013195,0.7258108749558373,0.13984588978476936,0.23099702240447906,82.7965977480635,0.060293472022749484,-1,[0],[-1]
stationary,nn,0,6,0.6005260562222587,0.25023975887107824,0.7841349257585539,0.35327111841787145,0.7586770518372022,0.2837217641706935,0.1518031604780102,113.0038855150342,0.04647692106664181,-1,[0],[-1]
retrain,nn,0,6,0.5993226520776345,0.3151801616659816,0.7890090380890897,0.4131088664421998,0.7572288513849879,0.322314315272321,0.15261036730234664,113.0038855150342,0.04918077203910798,-1,[1],[-1]
