Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
stationary,rf,0,5,0.7085090548251054,0.17479115027999634,0.6492552491475744,0.28040548832871065,0.6278189516557006,0.21261413351168382,0.279736774077185,8.805022152024321,0.299581462983042,-1,[0],[-1]
retrain,rf,0,5,0.7085090548251054,0.17479115027999634,0.6492552491475744,0.28040548832871065,0.6278189516557006,0.21261413351168382,0.279736774077185,8.805022152024321,0.2975853629177436,-1,[0],[-1]
oracle,rf,0,5,0.7085090548251054,0.17479115027999634,0.6492552491475744,0.28040548832871065,0.6278189516557006,0.21261413351168382,0.279736774077185,8.805022152024321,0.651133663021028,1,[0],[0.6278189516557006]
laf,rf,0,5,0.7085090548251054,0.17479115027999634,0.6492552491475744,0.28040548832871065,0.6278189516557006,0.21261413351168382,0.279736774077185,8.805022152024321,0.30608565104193985,-1,[0],[-1]
crc,rf,0,5,0.7085090548251054,0.17479115027999634,0.6492552491475744,0.28040548832871065,0.6278189516557006,0.21261413351168382,0.279736774077185,8.805022152024321,0.2825429360382259,-1,[0],[-1]
temporal,rf,0,5,0.7085090548251054,0.17479115027999634,0.6492552491475744,0.28040548832871065,0.6278189516557006,0.21261413351168382,0.279736774077185,8.805022152024321,0.27698312408756465,-1,[0],[-1]
temporal_rev,rf,0,5,0.7085090548251054,0.17479115027999634,0.6492552491475744,0.28040548832871065,0.6278189516557006,0.21261413351168382,0.279736774077185,8.805022152024321,0.278882080106996,-1,[0],[-1]
dist,rf,0,5,0.7085090548251054,0.17479115027999634,0.6492552491475744,0.28040548832871065,0.6278189516557006,0.21261413351168382,0.279736774077185,8.805022152024321,0.2898095999844372,-1,[0],[-1]
dist_leak,rf,0,5,0.7085090548251054,0.17479115027999634,0.6492552491475744,0.28040548832871065,0.6278189516557006,0.21261413351168382,0.279736774077185,8.805022152024321,0.30159556004218757,-1,[0],[-1]
stationary,rf,0,6,0.6374850299401198,0.36463899164269076,0.8014525500322789,0.4639184242635524,0.8328558701465247,0.3737386127352674,0.1343125815953944,15.716568112024106,0.2519999269861728,-1,[0],[-1]
