Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
stationary,cart,0,15,0.09966279505432746,0.8286604361370716,0.8729650111116853,0.17792642140468226,0.8976933157039602,0.26016238147669646,0.08766287999502963,0.32701822894159704,0.005510521004907787,-1,[0],[-1]
retrain,cart,0,15,0.09966279505432746,0.8286604361370716,0.8729650111116853,0.17792642140468226,0.8976933157039602,0.26016238147669646,0.08766287999502963,0.32701822894159704,0.005586195969954133,-1,[0],[-1]
oracle,cart,0,15,0.09966279505432746,0.8286604361370716,0.8729650111116853,0.17792642140468226,0.8976933157039602,0.26016238147669646,0.08766287999502963,0.32701822894159704,0.012402380001731217,1,[0],[0.8976933157039602]
laf,cart,0,15,0.09966279505432746,0.8286604361370716,0.8729650111116853,0.17792642140468226,0.8976933157039602,0.26016238147669646,0.08766287999502963,0.32701822894159704,0.005031144013628364,-1,[0],[-1]
crc,cart,0,15,0.09966279505432746,0.8286604361370716,0.8729650111116853,0.17792642140468226,0.8976933157039602,0.26016238147669646,0.08766287999502963,0.32701822894159704,0.005602668970823288,-1,[0],[-1]
temporal,cart,0,15,0.09966279505432746,0.8286604361370716,0.8729650111116853,0.17792642140468226,0.8976933157039602,0.26016238147669646,0.08766287999502963,0.32701822894159704,0.005343264900147915,-1,[0],[-1]
temporal_rev,cart,0,15,0.09966279505432746,0.8286604361370716,0.8729650111116853,0.17792642140468226,0.8976933157039602,0.26016238147669646,0.08766287999502963,0.32701822894159704,0.0054520550183951855,-1,[0],[-1]
dist,cart,0,15,0.09966279505432746,0.8286604361370716,0.8729650111116853,0.17792642140468226,0.8976933157039602,0.26016238147669646,0.08766287999502963,0.32701822894159704,0.005023445002734661,-1,[0],[-1]
dist_leak,cart,0,15,0.09966279505432746,0.8286604361370716,0.8729650111116853,0.17792642140468226,0.8976933157039602,0.26016238147669646,0.08766287999502963,0.32701822894159704,0.0050453090807422996,-1,[0],[-1]
stationary,cart,0,16,0.09383070301291248,0.7822966507177034,0.8675229357798165,0.16756341275941583,0.8879273387010821,0.24144309019004476,0.09175685371666903,0.6657215079758316,0.006746495026163757,-1,[0],[-1]
retrain,cart,0,16,0.29753265602322204,0.4904306220095694,0.9715800203873598,0.37037037037037035,0.8977220378920692,0.36843236524133066,0.026453446838047998,0.6657215079758316,0.006480586947873235,-1,[1],[-1]
oracle,cart,0,16,0.29753265602322204,0.4904306220095694,0.9715800203873598,0.37037037037037035,0.8977220378920692,0.36843236524133066,0.026453446838047998,0.6657215079758316,0.024141950998455286,2,"[1, 0]","[0.8879273387010821, 0.8977220378920692]"
laf,cart,0,16,0.29753265602322204,0.4904306220095694,0.9715800203873598,0.37037037037037035,0.8977220378920692,0.36843236524133066,0.026453446838047998,0.6657215079758316,0.8467819190118462,15,"[1, 0]",[-1]
crc,cart,0,16,0.29753265602322204,0.4904306220095694,0.9715800203873598,0.37037037037037035,0.8977220378920692,0.36843236524133066,0.026453446838047998,0.6657215079758316,0.022743209963664412,2,"[1, 0]",[-1]
temporal,cart,0,16,0.09383070301291248,0.7822966507177034,0.8675229357798165,0.16756341275941583,0.8879273387010821,0.24144309019004476,0.09175685371666903,0.6657215079758316,0.021411373978480697,1,"[0, 1]","[0.8976933157039602, 0.9431063878972912]"
temporal_rev,cart,0,16,0.29753265602322204,0.4904306220095694,0.9715800203873598,0.37037037037037035,0.8977220378920692,0.36843236524133066,0.026453446838047998,0.6657215079758316,0.02173571102321148,1,"[1, 0]","[0.8976933157039602, 0.9431063878972912]"
dist,cart,0,16,0.09383070301291248,0.7822966507177034,0.8675229357798165,0.16756341275941583,0.8879273387010821,0.24144309019004476,0.09175685371666903,0.6657215079758316,0.03294426202774048,14,"[0, 1]","[0.8976933157039602, 0.9431063878972912]"
dist_leak,cart,0,16,0.29753265602322204,0.4904306220095694,0.9715800203873598,0.37037037037037035,0.8977220378920692,0.36843236524133066,0.026453446838047998,0.6657215079758316,0.023113276925869286,14,"[1, 0]","[0.8976933157039602, 0.9431063878972912]"
stationary,cart,0,17,0.09943530567149521,0.8455114822546973,0.8395024662234613,0.17794376098418277,0.909611641290114,0.25586740271534736,0.11209232468330498,0.9994814669480547,0.006167660001665354,-1,[0],[-1]
retrain,cart,0,17,0.10669569951007077,0.8183716075156576,0.8555007505897491,0.1887791957620997,0.8956939853602578,0.2626670976908381,0.09513944699808931,0.9994814669480547,0.005821821978315711,-1,[2],[-1]
oracle,cart,0,17,0.09943530567149521,0.8455114822546973,0.8395024662234613,0.17794376098418277,0.909611641290114,0.25586740271534736,0.11209232468330498,0.9994814669480547,0.03449028905015439,3,"[0, 2, 1]","[0.909611641290114, 0.8901347851668848, 0.8956939853602578]"
laf,cart,0,17,0.3076923076923077,0.44258872651356995,0.9680892129530345,0.363013698630137,0.8901347851668848,0.3532389190864255,0.031247342863469054,0.9994814669480547,1.5737818189663813,16,"[1, 2, 0]",[-1]
crc,cart,0,17,0.3076923076923077,0.44258872651356995,0.9680892129530345,0.363013698630137,0.8901347851668848,0.3532389190864255,0.031247342863469054,0.9994814669480547,0.027381711988709867,3,"[1, 2, 0]",[-1]
temporal,cart,0,17,0.3076923076923077,0.44258872651356995,0.9680892129530345,0.363013698630137,0.8901347851668848,0.3532389190864255,0.031247342863469054,0.9994814669480547,0.03367174498271197,2,"[1, 0, 2]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702]"
temporal_rev,cart,0,17,0.10669569951007077,0.8183716075156576,0.8555007505897491,0.1887791957620997,0.8956939853602578,0.2626670976908381,0.09513944699808931,0.9994814669480547,0.03425704105757177,2,"[2, 1, 0]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702]"
dist,cart,0,17,0.09943530567149521,0.8455114822546973,0.8395024662234613,0.17794376098418277,0.909611641290114,0.25586740271534736,0.11209232468330498,0.9994814669480547,0.054415890015661716,14,"[0, 2, 1]","[0.8976933157039602, 0.9431063878972912, 0.9672527188985964]"
dist_leak,cart,0,17,0.10669569951007077,0.8183716075156576,0.8555007505897491,0.1887791957620997,0.8956939853602578,0.2626670976908381,0.09513944699808931,0.9994814669480547,0.028772942954674363,14,"[2, 1, 0]","[0.8976933157039602, 0.9431063878972912, 0.9672527188985964]"
stationary,cart,0,18,0.04094712479971515,0.7419354838709677,0.8749485337847112,0.07761093301839042,0.8961484355492669,0.15492342695071584,0.09061513534270452,1.338108028867282,0.010538103990256786,-1,[0],[-1]
retrain,cart,0,18,0.023798668733473145,0.8419354838709677,0.7539914909190722,0.04628890662410216,0.8894765570193691,0.11522444499720445,0.14564185446900926,1.338108028867282,0.010985378990881145,-1,[3],[-1]
oracle,cart,0,18,0.05340859748154581,0.7935483870967742,0.8988059838052976,0.1000813669650122,0.9028415677799841,0.1894298694281094,0.06225297342551909,1.338108028867282,0.06967032793909311,4,"[2, 0, 3, 1]","[0.8961484355492669, 0.8485381020891051, 0.9028415677799841, 0.8894765570193691]"
laf,cart,0,18,0.21165048543689322,0.35161290322580646,0.9861155588087287,0.2642424242424242,0.8485381020891051,0.26617118973000525,0.01691623699125432,1.338108028867282,4.853382167988457,17,"[1, 2, 0, 3]",[-1]
crc,cart,0,18,0.21165048543689322,0.35161290322580646,0.9861155588087287,0.2642424242424242,0.8485381020891051,0.26617118973000525,0.01691623699125432,1.338108028867282,0.056461650994606316,4,"[1, 2, 0, 3]",[-1]
temporal,cart,0,18,0.04094712479971515,0.7419354838709677,0.8749485337847112,0.07761093301839042,0.8961484355492669,0.15492342695071584,0.09061513534270452,1.338108028867282,0.04649337299633771,3,"[0, 2, 1, 3]","[0.909611641290114, 0.8901347851668848, 0.8956939853602578, 0.9461127195056261]"
temporal_rev,cart,0,18,0.04094712479971515,0.7419354838709677,0.8749485337847112,0.07761093301839042,0.8961484355492669,0.15492342695071584,0.09061513534270452,1.338108028867282,0.04561620904132724,3,"[0, 2, 1, 3]","[0.909611641290114, 0.8901347851668848, 0.8956939853602578, 0.9461127195056261]"
dist,cart,0,18,0.04094712479971515,0.7419354838709677,0.8749485337847112,0.07761093301839042,0.8961484355492669,0.15492342695071584,0.09061513534270452,1.338108028867282,0.10379616403952241,16,"[0, 2, 1, 3]","[0.909611641290114, 0.8901347851668848, 0.8956939853602578, 0.9461127195056261]"
dist_leak,cart,0,18,0.023798668733473145,0.8419354838709677,0.7539914909190722,0.04628890662410216,0.8894765570193691,0.11522444499720445,0.14564185446900926,1.338108028867282,0.04530566104222089,16,"[3, 0, 2, 1]","[0.909611641290114, 0.8901347851668848, 0.8956939853602578, 0.9461127195056261]"
stationary,cart,0,19,0.15443745632424877,0.9045020463847203,0.8547367594519257,0.26382809391165934,0.9322263763532407,0.3384117756924955,0.10029678643464073,1.707032028818503,0.0065034490544348955,-1,[0],[-1]
retrain,cart,0,19,0.14054813773717498,0.8185538881309686,0.8507322052530328,0.23990403838464613,0.9059242084880378,0.2999941883325526,0.09457788023051861,1.707032028818503,0.0062307510524988174,-1,[4],[-1]
oracle,cart,0,19,0.15443745632424877,0.9045020463847203,0.8547367594519257,0.26382809391165934,0.9322263763532407,0.3384117756924955,0.10029678643464073,1.707032028818503,0.052837849012576044,5,"[0, 3, 4, 2, 1]","[0.9322263763532407, 0.8004265052456428, 0.9011399631852592, 0.9267434031983977, 0.9059242084880378]"
laf,cart,0,19,0.2995658465991317,0.28240109140518416,0.960347061363904,0.2907303370786517,0.8004265052456428,0.2704764991781075,0.038754962096850566,1.707032028818503,4.094836358097382,18,"[1, 2, 4, 0, 3]",[-1]
crc,cart,0,19,0.2995658465991317,0.28240109140518416,0.960347061363904,0.2907303370786517,0.8004265052456428,0.2704764991781075,0.038754962096850566,1.707032028818503,0.04090142191853374,5,"[1, 2, 0, 4, 3]",[-1]
temporal,cart,0,19,0.1436143361938415,0.7762619372442019,0.8603509873974323,0.24238551650692225,0.9011399631852592,0.29480770420712543,0.09355704550519413,1.707032028818503,0.08988782309461385,4,"[2, 0, 3, 1, 4]","[0.8961484355492669, 0.8485381020891051, 0.9028415677799841, 0.8894765570193691, 0.9599119160434231]"
temporal_rev,cart,0,19,0.1436143361938415,0.7762619372442019,0.8603509873974323,0.24238551650692225,0.9011399631852592,0.29480770420712543,0.09355704550519413,1.707032028818503,0.08006774401292205,4,"[2, 0, 3, 1, 4]","[0.8961484355492669, 0.8485381020891051, 0.9028415677799841, 0.8894765570193691, 0.9599119160434231]"
dist,cart,0,19,0.2995658465991317,0.28240109140518416,0.960347061363904,0.2907303370786517,0.8004265052456428,0.2704764991781075,0.038754962096850566,1.707032028818503,0.1095860309433192,15,"[1, 0, 2, 3, 4]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702, 0.9620357346225351, 0.9575763993185883]"
dist_leak,cart,0,19,0.1436143361938415,0.7762619372442019,0.8603509873974323,0.24238551650692225,0.9011399631852592,0.29480770420712543,0.09355704550519413,1.707032028818503,0.05175021092873067,15,"[2, 3, 4, 1, 0]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702, 0.9620357346225351, 0.9575763993185883]"
stationary,cart,0,20,0.04957465532414198,0.8366336633663366,0.8474836905871389,0.09360288008861811,0.9132504804248418,0.18074604593517024,0.1029027829934567,2.0976532228523865,0.006254796055145562,-1,[0],[-1]
retrain,cart,0,20,0.07292110874200426,0.8465346534653465,0.8972506989748369,0.13427561837455831,0.9222326551029363,0.23036008665722882,0.06560392968829401,2.0976532228523865,0.005570049048401415,-1,[5],[-1]
oracle,cart,0,20,0.054891137687825824,0.8861386138613861,0.8553122087604846,0.1033785734911926,0.941158902088346,0.19936479326735174,0.09199329107491193,2.0976532228523865,0.07148619997315109,6,"[4, 5, 3, 1, 0, 2]","[0.9132504804248418, 0.9193920238763926, 0.9114619865881592, 0.921381839708103, 0.941158902088346, 0.9222326551029363]"
laf,cart,0,20,0.19726858877086495,0.6435643564356436,0.9719944082013048,0.30197444831591175,0.9193920238763926,0.34627239668636983,0.029069479799183336,2.0976532228523865,3.4547731620259583,19,"[1, 5, 2, 4, 0, 3]",[-1]
crc,cart,0,20,0.19726858877086495,0.6435643564356436,0.9719944082013048,0.30197444831591175,0.9193920238763926,0.34627239668636983,0.029069479799183336,2.0976532228523865,0.03902555606327951,6,"[1, 0, 2, 5, 4, 3]",[-1]
temporal,cart,0,20,0.04957465532414198,0.8366336633663366,0.8474836905871389,0.09360288008861811,0.9132504804248418,0.18074604593517024,0.1029027829934567,2.0976532228523865,0.06308615207672119,5,"[0, 3, 4, 2, 1, 5]","[0.9322263763532407, 0.8004265052456428, 0.9011399631852592, 0.9267434031983977, 0.9059242084880378, 0.983088249162271]"
temporal_rev,cart,0,20,0.04957465532414198,0.8366336633663366,0.8474836905871389,0.09360288008861811,0.9132504804248418,0.18074604593517024,0.1029027829934567,2.0976532228523865,0.061339595005847514,5,"[0, 3, 4, 2, 1, 5]","[0.9322263763532407, 0.8004265052456428, 0.9011399631852592, 0.9267434031983977, 0.9059242084880378, 0.983088249162271]"
