Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
stationary,nn,0,15,0.23696682464454977,0.3115264797507788,0.9719365341878133,0.2691790040376851,0.8703739267333204,0.2576265889806705,0.02166531378515346,2.1969251449918374,0.006366441026329994,-1,[0],[-1]
retrain,nn,0,15,0.23696682464454977,0.3115264797507788,0.9719365341878133,0.2691790040376851,0.8703739267333204,0.2576265889806705,0.02166531378515346,2.1969251449918374,0.006372500094585121,-1,[0],[-1]
oracle,nn,0,15,0.23696682464454977,0.3115264797507788,0.9719365341878133,0.2691790040376851,0.8703739267333204,0.2576265889806705,0.02166531378515346,2.1969251449918374,0.016031212988309562,1,[0],[0.8703739267333204]
laf,nn,0,15,0.23696682464454977,0.3115264797507788,0.9719365341878133,0.2691790040376851,0.8703739267333204,0.2576265889806705,0.02166531378515346,2.1969251449918374,0.006238800007849932,-1,[0],[-1]
crc,nn,0,15,0.23696682464454977,0.3115264797507788,0.9719365341878133,0.2691790040376851,0.8703739267333204,0.2576265889806705,0.02166531378515346,2.1969251449918374,0.00619603309314698,-1,[0],[-1]
temporal,nn,0,15,0.23696682464454977,0.3115264797507788,0.9719365341878133,0.2691790040376851,0.8703739267333204,0.2576265889806705,0.02166531378515346,2.1969251449918374,0.010498201008886099,-1,[0],[-1]
temporal_rev,nn,0,15,0.23696682464454977,0.3115264797507788,0.9719365341878133,0.2691790040376851,0.8703739267333204,0.2576265889806705,0.02166531378515346,2.1969251449918374,0.009834000025875866,-1,[0],[-1]
dist,nn,0,15,0.23696682464454977,0.3115264797507788,0.9719365341878133,0.2691790040376851,0.8703739267333204,0.2576265889806705,0.02166531378515346,2.1969251449918374,0.009720992995426059,-1,[0],[-1]
dist_leak,nn,0,15,0.23696682464454977,0.3115264797507788,0.9719365341878133,0.2691790040376851,0.8703739267333204,0.2576265889806705,0.02166531378515346,2.1969251449918374,0.0063004689291119576,-1,[0],[-1]
stationary,nn,0,16,0.29115853658536583,0.4569377990430622,0.9717838939857288,0.35567970204841715,0.9052400551528343,0.35108835976184094,0.021496052419983175,8.587667012005113,0.008053418947383761,-1,[0],[-1]
