Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
stationary,rf,0,15,0.5034965034965035,0.6728971962616822,0.9835650421210399,0.576,0.972548079662239,0.5740147976396883,0.013777621687365212,3.7492932670284063,0.0666857009055093,-1,[0],[-1]
retrain,rf,0,15,0.5034965034965035,0.6728971962616822,0.9835650421210399,0.576,0.972548079662239,0.5740147976396883,0.013777621687365212,3.7492932670284063,0.06702004210092127,-1,[0],[-1]
oracle,rf,0,15,0.5034965034965035,0.6728971962616822,0.9835650421210399,0.576,0.972548079662239,0.5740147976396883,0.013777621687365212,3.7492932670284063,0.1361433769343421,1,[0],[0.972548079662239]
laf,rf,0,15,0.5034965034965035,0.6728971962616822,0.9835650421210399,0.576,0.972548079662239,0.5740147976396883,0.013777621687365212,3.7492932670284063,0.06522274401504546,-1,[0],[-1]
crc,rf,0,15,0.5034965034965035,0.6728971962616822,0.9835650421210399,0.576,0.972548079662239,0.5740147976396883,0.013777621687365212,3.7492932670284063,0.0669662948930636,-1,[0],[-1]
temporal,rf,0,15,0.5034965034965035,0.6728971962616822,0.9835650421210399,0.576,0.972548079662239,0.5740147976396883,0.013777621687365212,3.7492932670284063,0.0654780549230054,-1,[0],[-1]
temporal_rev,rf,0,15,0.5034965034965035,0.6728971962616822,0.9835650421210399,0.576,0.972548079662239,0.5740147976396883,0.013777621687365212,3.7492932670284063,0.06839259795378894,-1,[0],[-1]
dist,rf,0,15,0.5034965034965035,0.6728971962616822,0.9835650421210399,0.576,0.972548079662239,0.5740147976396883,0.013777621687365212,3.7492932670284063,0.06955633906181902,-1,[0],[-1]
dist_leak,rf,0,15,0.5034965034965035,0.6728971962616822,0.9835650421210399,0.576,0.972548079662239,0.5740147976396883,0.013777621687365212,3.7492932670284063,0.06665620289277285,-1,[0],[-1]
stationary,rf,0,16,0.41919191919191917,0.5956937799043063,0.9790417940876657,0.49209486166007904,0.9705655884659362,0.48949481600742056,0.017339628841663294,9.702927703037858,0.0769477280555293,-1,[0],[-1]
retrain,rf,0,16,0.3248847926267281,0.6746411483253588,0.9705606523955148,0.4385692068429238,0.9721207066660342,0.4555706356082878,0.02471837134476545,9.702927703037858,0.1288503590039909,-1,[1],[-1]
oracle,rf,0,16,0.3248847926267281,0.6746411483253588,0.9705606523955148,0.4385692068429238,0.9721207066660342,0.4555706356082878,0.02471837134476545,9.702927703037858,0.3476389840943739,2,"[1, 0]","[0.9705655884659362, 0.9721207066660342]"
laf,rf,0,16,0.3248847926267281,0.6746411483253588,0.9705606523955148,0.4385692068429238,0.9721207066660342,0.4555706356082878,0.02471837134476545,9.702927703037858,0.45405868208035827,15,"[1, 0]",[-1]
crc,rf,0,16,0.41919191919191917,0.5956937799043063,0.9790417940876657,0.49209486166007904,0.9705655884659362,0.48949481600742056,0.017339628841663294,9.702927703037858,0.29650003695860505,2,"[0, 1]",[-1]
temporal,rf,0,16,0.41919191919191917,0.5956937799043063,0.9790417940876657,0.49209486166007904,0.9705655884659362,0.48949481600742056,0.017339628841663294,9.702927703037858,0.263777126907371,1,"[0, 1]","[0.972548079662239, 0.9984616865651995]"
temporal_rev,rf,0,16,0.3248847926267281,0.6746411483253588,0.9705606523955148,0.4385692068429238,0.9721207066660342,0.4555706356082878,0.02471837134476545,9.702927703037858,0.3199531720019877,1,"[1, 0]","[0.972548079662239, 0.9984616865651995]"
dist,rf,0,16,0.41919191919191917,0.5956937799043063,0.9790417940876657,0.49209486166007904,0.9705655884659362,0.48949481600742056,0.017339628841663294,9.702927703037858,0.2681024979101494,14,"[0, 1]","[0.972548079662239, 0.9984616865651995]"
dist_leak,rf,0,16,0.3248847926267281,0.6746411483253588,0.9705606523955148,0.4385692068429238,0.9721207066660342,0.4555706356082878,0.02471837134476545,9.702927703037858,0.29908239596989006,14,"[1, 0]","[0.972548079662239, 0.9984616865651995]"
stationary,rf,0,17,0.6004366812227074,0.5741127348643006,0.9834012438344414,0.5869797225186766,0.9626950597361015,0.5786658641852983,0.016304171652089135,15.498469551093876,0.07953434705268592,-1,[0],[-1]
retrain,rf,0,17,0.6780045351473923,0.6242171189979123,0.9861891486167703,0.65,0.9759982772686865,0.6435393384384377,0.014757176589033803,15.498469551093876,0.11649143905378878,-1,[2],[-1]
oracle,rf,0,17,0.6780045351473923,0.6242171189979123,0.9861891486167703,0.65,0.9759982772686865,0.6435393384384377,0.014757176589033803,15.498469551093876,0.46109511400572956,3,"[2, 1, 0]","[0.9626950597361015, 0.9689531710360269, 0.9759982772686865]"
laf,rf,0,17,0.40870616686819833,0.7056367432150313,0.9729787690328114,0.5176110260336907,0.9689531710360269,0.5247438887903699,0.022890249052214973,15.498469551093876,0.6490061969961971,16,"[1, 0, 2]",[-1]
crc,rf,0,17,0.6004366812227074,0.5741127348643006,0.9834012438344414,0.5869797225186766,0.9626950597361015,0.5786658641852983,0.016304171652089135,15.498469551093876,0.3895132599864155,3,"[0, 2, 1]",[-1]
temporal,rf,0,17,0.40870616686819833,0.7056367432150313,0.9729787690328114,0.5176110260336907,0.9689531710360269,0.5247438887903699,0.022890249052214973,15.498469551093876,0.4479963700287044,2,"[1, 0, 2]","[0.9705655884659362, 0.9721207066660342, 0.995648090461128]"
temporal_rev,rf,0,17,0.6780045351473923,0.6242171189979123,0.9861891486167703,0.65,0.9759982772686865,0.6435393384384377,0.014757176589033803,15.498469551093876,0.4387107460061088,2,"[2, 1, 0]","[0.9705655884659362, 0.9721207066660342, 0.995648090461128]"
dist,rf,0,17,0.6004366812227074,0.5741127348643006,0.9834012438344414,0.5869797225186766,0.9626950597361015,0.5786658641852983,0.016304171652089135,15.498469551093876,0.3900672629242763,14,"[0, 1, 2]","[0.972548079662239, 0.9984616865651995, 0.9956807380761061]"
dist_leak,rf,0,17,0.40870616686819833,0.7056367432150313,0.9729787690328114,0.5176110260336907,0.9689531710360269,0.5247438887903699,0.022890249052214973,15.498469551093876,0.39652241894509643,14,"[1, 2, 0]","[0.972548079662239, 0.9984616865651995, 0.9956807380761061]"
stationary,rf,0,18,0.5192878338278932,0.5645161290322581,0.9932064595818656,0.5409582689335394,0.975951846248053,0.5380178631167223,0.007807934819903367,21.096671375096776,0.12417221895884722,-1,[0],[-1]
retrain,rf,0,18,0.35170178282009723,0.7,0.9887231803833662,0.46817691477885653,0.9828310969882168,0.4913856242053016,0.010483053655234074,21.096671375096776,0.16006840602494776,-1,[3],[-1]
oracle,rf,0,18,0.35170178282009723,0.7,0.9887231803833662,0.46817691477885653,0.9828310969882168,0.4913856242053016,0.010483053655234074,21.096671375096776,0.8281866789329797,4,"[3, 2, 1, 0]","[0.975951846248053, 0.9780876202394682, 0.9808323945043578, 0.9828310969882168]"
laf,rf,0,18,0.2937771345875543,0.6548387096774193,0.9863900452902694,0.40559440559440557,0.9780876202394682,0.4329820381139803,0.012127242533858646,21.096671375096776,1.1418735249899328,17,"[1, 3, 0, 2]",[-1]
crc,rf,0,18,0.5192878338278932,0.5645161290322581,0.9932064595818656,0.5409582689335394,0.975951846248053,0.5380178631167223,0.007807934819903367,21.096671375096776,0.7767806990304962,4,"[0, 2, 3, 1]",[-1]
temporal,rf,0,18,0.5894039735099338,0.5741935483870968,0.9941442883937966,0.5816993464052288,0.9808323945043578,0.5788015131156232,0.007629648990563328,21.096671375096776,0.6062219960149378,3,"[2, 1, 0, 3]","[0.9626950597361015, 0.9689531710360269, 0.9759982772686865, 0.9995331145819277]"
temporal_rev,rf,0,18,0.35170178282009723,0.7,0.9887231803833662,0.46817691477885653,0.9828310969882168,0.4913856242053016,0.010483053655234074,21.096671375096776,0.5976901949616149,3,"[3, 2, 1, 0]","[0.9626950597361015, 0.9689531710360269, 0.9759982772686865, 0.9995331145819277]"
dist,rf,0,18,0.5894039735099338,0.5741935483870968,0.9941442883937966,0.5816993464052288,0.9808323945043578,0.5788015131156232,0.007629648990563328,21.096671375096776,0.6691503800684586,16,"[2, 1, 0, 3]","[0.9626950597361015, 0.9689531710360269, 0.9759982772686865, 0.9995331145819277]"
dist_leak,rf,0,18,0.35170178282009723,0.7,0.9887231803833662,0.46817691477885653,0.9828310969882168,0.4913856242053016,0.010483053655234074,21.096671375096776,0.6049496210180223,16,"[3, 2, 1, 0]","[0.9626950597361015, 0.9689531710360269, 0.9759982772686865, 0.9995331145819277]"
stationary,rf,0,19,0.7137476459510358,0.5170532060027285,0.9801342703466688,0.5996835443037974,0.9753718009762777,0.5978361724750486,0.0176232217696976,27.11352543614339,0.08076253102626652,-1,[0],[-1]
retrain,rf,0,19,0.5998107852412489,0.8649386084583902,0.9795061049821365,0.7083798882681565,0.9864300378195411,0.7107075277924529,0.018796648910960282,27.11352543614339,0.11614458600524813,-1,[4],[-1]
oracle,rf,0,19,0.5998107852412489,0.8649386084583902,0.9795061049821365,0.7083798882681565,0.9864300378195411,0.7107075277924529,0.018796648910960282,27.11352543614339,0.6918004009639844,5,"[4, 3, 2, 1, 0]","[0.9753718009762777, 0.9773186983212994, 0.9815388049845601, 0.9824341086399931, 0.9864300378195411]"
laf,rf,0,19,0.5095285857572718,0.6930422919508867,0.97196812060775,0.5872832369942197,0.9773186983212994,0.580399188709608,0.02240724880446839,27.11352543614339,1.1587235239567235,18,"[1, 4, 3, 0, 2]",[-1]
crc,rf,0,19,0.7137476459510358,0.5170532060027285,0.9801342703466688,0.5996835443037974,0.9753718009762777,0.5978361724750486,0.0176232217696976,27.11352543614339,0.6635188690852374,5,"[0, 4, 2, 3, 1]",[-1]
temporal,rf,0,19,0.5894179894179894,0.7598908594815825,0.9778571709002395,0.66388557806913,0.9824341086399931,0.6582615152590946,0.019975922904834662,27.11352543614339,0.9523594550555572,4,"[3, 2, 1, 0, 4]","[0.975951846248053, 0.9780876202394682, 0.9808323945043578, 0.9828310969882168, 0.9997477051948207]"
temporal_rev,rf,0,19,0.5998107852412489,0.8649386084583902,0.9795061049821365,0.7083798882681565,0.9864300378195411,0.7107075277924529,0.018796648910960282,27.11352543614339,0.9354214140912518,4,"[4, 3, 2, 1, 0]","[0.975951846248053, 0.9780876202394682, 0.9808323945043578, 0.9828310969882168, 0.9997477051948207]"
dist,rf,0,19,0.5095285857572718,0.6930422919508867,0.97196812060775,0.5872832369942197,0.9773186983212994,0.580399188709608,0.02240724880446839,27.11352543614339,0.733944353996776,15,"[1, 0, 4, 3, 2]","[0.9705655884659362, 0.9721207066660342, 0.995648090461128, 0.9988181181070122, 0.998830175594732]"
